TARGET,First 300m,First 400m,500m,Second 400m,Second 300m,200m
96,34.5,48.0,60.0,48.0,34.5,22.0
97,34.875,48.5,60.625,48.5,34.875,22.25
98,35.25,49.0,61.25,49.0,35.25,22.5
99,35.625,49.5,61.875,49.5,35.625,22.75
100,36.0,50.0,62.5,50.0,36.0,23.0
101,36.375,50.5,63.125,50.5,36.375,23.25
102,36.75,51.0,63.75,51.0,36.75,23.5
103,37.125,51.5,64.375,51.5,37.125,23.75
104,37.5,52.0,65.0,52.0,37.5,24.0
105,37.875,52.5,65.625,52.5,37.875,24.25
106,38.25,53.0,66.25,53.0,38.25,24.5
107,38.625,53.5,66.875,53.5,38.625,24.75
108,39.0,54.0,67.5,54.0,39.0,25.0
109,39.375,54.5,68.125,54.5,39.375,25.25
110,39.75,55.0,68.75,55.0,39.75,25.5
111,40.125,55.5,69.375,55.5,40.125,25.75
112,40.5,56.0,70.0,56.0,40.5,26.0
113,40.875,56.5,70.625,56.5,40.875,26.25
114,41.25,57.0,71.25,57.0,41.25,26.5
115,41.625,57.5,71.875,57.5,41.625,26.75
116,42.0,58.0,72.5,58.0,42.0,27.0
117,42.375,58.5,73.125,58.5,42.375,27.25
118,42.75,59.0,73.75,59.0,42.75,27.5
119,43.125,59.5,74.375,59.5,43.125,27.75
120,43.5,60.0,75.0,60.0,43.5,28.0
121,43.875,60.5,75.625,60.5,43.875,28.25
122,44.25,61.0,76.25,61.0,44.25,28.5
123,44.625,61.5,76.875,61.5,44.625,28.75
124,45.0,62.0,77.5,62.0,45.0,29.0
125,45.375,62.5,78.125,62.5,45.375,29.25
126,45.75,63.0,78.75,63.0,45.75,29.5
127,46.125,63.5,79.375,63.5,46.125,29.75
128,46.5,64.0,80.0,64.0,46.5,30.0
129,46.875,64.5,80.625,64.5,46.875,30.25
130,47.25,65.0,81.25,65.0,47.25,30.5
131,47.625,65.5,81.875,65.5,47.625,30.75
132,48.0,66.0,82.5,66.0,48.0,31.0
133,48.375,66.5,83.125,66.5,48.375,31.25
134,48.75,67.0,83.75,67.0,48.75,31.5
135,49.125,67.5,84.375,67.5,49.125,31.75
136,49.5,68.0,85.0,68.0,49.5,32.0
137,49.875,68.5,85.625,68.5,49.875,32.25
138,50.25,69.0,86.25,69.0,50.25,32.5
139,50.625,69.5,86.875,69.5,50.625,32.75
140,51.0,70.0,87.5,70.0,51.0,33.0
141,51.375,70.5,88.125,70.5,51.375,33.25
142,51.75,71.0,88.75,71.0,51.75,33.5
143,52.125,71.5,89.375,71.5,52.125,33.75
144,52.5,72.0,90.0,72.0,52.5,34.0
145,52.875,72.5,90.625,72.5,52.875,34.25
146,53.25,73.0,91.25,73.0,53.25,34.5
147,53.625,73.5,91.875,73.5,53.625,34.75
148,54.0,74.0,92.5,74.0,54.0,35.0
149,54.375,74.5,93.125,74.5,54.375,35.25
150,54.75,75.0,93.75,75.0,54.75,35.5
151,55.125,75.5,94.375,75.5,55.125,35.75
152,55.5,76.0,95.0,76.0,55.5,36.0
153,55.875,76.5,95.625,76.5,55.875,36.25
154,56.25,77.0,96.25,77.0,56.25,36.5
155,56.625,77.5,96.875,77.5,56.625,36.75
156,57.0,78.0,97.5,78.0,57.0,37.0
157,57.375,78.5,98.125,78.5,57.375,37.25
158,57.75,79.0,98.75,79.0,57.75,37.5
159,58.125,79.5,99.375,79.5,58.125,37.75
160,58.5,80.0,100.0,80.0,58.5,38.0
161,58.875,80.5,100.625,80.5,58.875,38.25
162,59.25,81.0,101.25,81.0,59.25,38.5
163,59.625,81.5,101.875,81.5,59.625,38.75
164,60.0,82.0,102.5,82.0,60.0,39.0
165,60.375,82.5,103.125,82.5,60.375,39.25
166,60.75,83.0,103.75,83.0,60.75,39.5
167,61.125,83.5,104.375,83.5,61.125,39.75
168,61.5,84.0,105.0,84.0,61.5,40.0
169,61.875,84.5,105.625,84.5,61.875,40.25
