TARGET,Set 1 3x300m average,Set 2 3x300m average
96,33.75,33.0
97,34.125,33.375
98,34.5,33.75
99,34.875,34.125
100,35.25,34.5
101,35.625,34.875
102,36.0,35.25
103,36.375,35.625
104,36.75,36.0
105,37.125,36.375
106,37.5,36.75
107,37.875,37.125
108,38.25,37.5
109,38.625,37.875
110,39.0,38.25
111,39.375,38.625
112,39.75,39.0
113,40.125,39.375
114,40.5,39.75
115,40.875,40.125
116,41.25,40.5
117,41.625,40.875
118,42.0,41.25
119,42.375,41.625
120,42.75,42.0
121,43.125,42.375
122,43.5,42.75
123,43.875,43.125
124,44.25,43.5
125,44.625,43.875
126,45.0,44.25
127,45.375,44.625
128,45.75,45.0
129,46.125,45.375
130,46.5,45.75
131,46.875,46.125
132,47.25,46.5
133,47.625,46.875
134,48.0,47.25
135,48.375,47.625
136,48.75,48.0
137,49.125,48.375
138,49.5,48.75
139,49.875,49.125
140,50.25,49.5
141,50.625,49.875
142,51.0,50.25
143,51.375,50.625
144,51.75,51.0
145,52.125,51.375
146,52.5,51.75
147,52.875,52.125
148,53.25,52.5
149,53.625,52.875
150,54.0,53.25
151,54.375,53.625
152,54.75,54.0
153,55.125,54.375
154,55.5,54.75
155,55.875,55.125
156,56.25,55.5
157,56.625,55.875
158,57.0,56.25
159,57.375,56.625
160,57.75,57.0
161,58.125,57.375
162,58.5,57.75
163,58.875,58.125
164,59.25,58.5
165,59.625,58.875
166,60.0,59.25
167,60.375,59.625
168,60.75,60.0
169,61.125,60.375
170,61.5,60.75
171,61.875,61.125
172,62.25,61.5
173,62.625,61.875
174,63.0,62.25
175,63.375,62.625
176,63.75,63.0
177,64.125,63.375
178,64.5,63.75
179,64.875,64.125
180,65.25,64.5
181,65.625,64.875
182,66.0,65.25
183,66.375,65.625
184,66.75,66.0
185,67.125,66.375
186,67.5,66.75
187,67.875,67.125
188,68.25,67.5
189,68.625,67.875
190,69.0,68.25
191,69.375,68.625
192,69.75,69.0
193,70.125,69.375
194,70.5,69.75
195,70.875,70.125
196,71.25,70.5
197,71.625,70.875
198,72.0,71.25
199,72.375,71.625
200,72.75,72.0
201,73.125,72.375
202,73.5,72.75
203,73.875,73.125
204,74.25,73.5
205,74.625,73.875
206,75.0,74.25
207,75.375,74.625
208,75.75,75.0
209,76.125,75.375
210,76.5,75.75
211,76.875,76.125
212,77.25,76.5
213,77.625,76.875
214,78.0,77.25
215,78.375,77.625
216,78.75,78.0
217,79.125,78.375
218,79.5,78.75
219,79.875,79.125
220,80.25,79.5
221,80.625,79.875
222,81.0,80.25
223,81.375,80.625
224,81.75,81.0
225,82.125,81.375
226,82.5,81.75
227,82.875,82.125
228,83.25,82.5
229,83.625,82.875
230,84.0,83.25
231,84.375,83.625
232,84.75,84.0
233,85.125,84.375
234,85.5,84.75
235,85.875,85.125
236,86.25,85.5
237,86.625,85.875
238,87.0,86.25
239,87.375,86.625
