TARGET,First 500m,Second 500m,Third 500m
96,60.2,59.2,58.7
97,60.800000000000004,59.800000000000004,59.300000000000004
98,61.400000000000006,60.400000000000006,59.900000000000006
99,62.0,61.0,60.5
100,62.6,61.6,61.1
101,63.2,62.2,61.7
102,63.800000000000004,62.800000000000004,62.300000000000004
103,64.4,63.400000000000006,62.900000000000006
104,65.0,64.0,63.5
105,65.60000000000001,64.60000000000001,64.10000000000001
106,66.2,65.2,64.7
107,66.8,65.8,65.3
108,67.4,66.4,65.9
109,68.0,67.0,66.5
110,68.60000000000001,67.60000000000001,67.10000000000001
111,69.2,68.2,67.7
112,69.8,68.8,68.3
113,70.4,69.4,68.9
114,71.0,70.0,69.5
115,71.60000000000001,70.60000000000001,70.10000000000001
116,72.2,71.2,70.7
117,72.8,71.8,71.3
118,73.4,72.4,71.9
119,74.0,73.0,72.5
120,74.6,73.6,73.1
121,75.2,74.2,73.7
122,75.8,74.8,74.3
123,76.4,75.4,74.9
124,77.0,76.0,75.5
125,77.6,76.6,76.1
126,78.2,77.2,76.7
127,78.8,77.8,77.3
128,79.4,78.4,77.9
129,80.0,79.0,78.5
130,80.6,79.6,79.1
131,81.2,80.2,79.7
132,81.8,80.8,80.3
133,82.4,81.4,80.9
134,83.0,82.0,81.5
135,83.6,82.6,82.1
136,84.2,83.2,82.7
137,84.8,83.8,83.3
138,85.4,84.4,83.9
139,86.0,85.0,84.5
140,86.6,85.6,85.1
141,87.2,86.2,85.7
142,87.8,86.8,86.3
143,88.4,87.4,86.9
144,89.0,88.0,87.5
145,89.6,88.6,88.1
146,90.2,89.2,88.7
147,90.8,89.8,89.3
148,91.4,90.4,89.9
149,92.0,91.0,90.5
150,92.6,91.6,91.1
151,93.2,92.2,91.7
152,93.80000000000001,92.80000000000001,92.30000000000001
153,94.4,93.4,92.9
154,95.0,94.0,93.5
155,95.6,94.6,94.1
156,96.2,95.2,94.7
157,96.80000000000001,95.80000000000001,95.30000000000001
158,97.4,96.4,95.9
159,98.0,97.0,96.5
160,98.6,97.6,97.1
161,99.2,98.2,97.7
162,99.80000000000001,98.80000000000001,98.30000000000001
163,100.4,99.4,98.9
164,101.0,100.0,99.5
165,101.6,100.6,100.1
166,102.2,101.2,100.7
167,102.80000000000001,101.80000000000001,101.30000000000001
168,103.4,102.4,101.9
169,104.0,103.0,102.5
170,104.6,103.6,103.1
171,105.2,104.2,103.7
172,105.80000000000001,104.80000000000001,104.30000000000001
173,106.4,105.4,104.9
174,107.0,106.0,105.5
175,107.6,106.6,106.1
176,108.2,107.2,106.7
177,108.80000000000001,107.80000000000001,107.30000000000001
178,109.4,108.4,107.9
179,110.0,109.0,108.5
180,110.6,109.6,109.1
181,111.2,110.2,109.7
182,111.80000000000001,110.80000000000001,110.30000000000001
183,112.4,111.4,110.9
184,113.0,112.0,111.5
185,113.6,112.6,112.1
186,114.2,113.2,112.7
187,114.80000000000001,113.80000000000001,113.30000000000001
188,115.4,114.4,113.9
189,116.0,115.0,114.5
190,116.6,115.6,115.1
191,117.2,116.2,115.7
192,117.8,116.8,116.3
193,118.4,117.4,116.9
194,119.0,118.0,117.5
195,119.6,118.6,118.1
196,120.2,119.2,118.7
197,120.8,119.8,119.3
198,121.4,120.4,119.9
199,122.0,121.0,120.5
200,122.6,121.6,121.1
201,123.2,122.2,121.7
202,123.8,122.8,122.3
203,124.4,123.4,122.9
204,125.0,124.0,123.5
205,125.6,124.6,124.1
206,126.2,125.2,124.7
207,126.8,125.8,125.3
208,127.4,126.4,125.9
209,128.0,127.0,126.5
210,128.6,127.6,127.1
211,129.2,128.2,127.7
212,129.8,128.8,128.3
213,130.4,129.4,128.9
214,131.0,130.0,129.5
215,131.6,130.6,130.1
216,132.2,131.2,130.7
217,132.8,131.8,131.3
218,133.4,132.4,131.9
219,134.0,133.0,132.5
220,134.6,133.6,133.1
221,135.2,134.2,133.7
222,135.8,134.8,134.3
223,136.4,135.4,134.9
224,137.0,136.0,135.5
225,137.6,136.6,136.1
226,138.2,137.2,136.7
227,138.8,137.8,137.3
228,139.4,138.4,137.9
229,140.0,139.0,138.5
230,140.6,139.6,139.1
231,141.2,140.2,139.7
232,141.8,140.8,140.3
233,142.4,141.4,140.9
234,143.0,142.0,141.5
235,143.6,142.6,142.1
236,144.2,143.2,142.7
237,144.8,143.8,143.3
238,145.4,144.4,143.9
239,146.0,145.0,144.5
