TARGET,600m,4x300m average
96,71.25,35.25
97,72.0,35.625
98,72.75,36.0
99,73.5,36.375
100,74.25,36.75
101,75.0,37.125
102,75.75,37.5
103,76.5,37.875
104,77.25,38.25
105,78.0,38.625
106,78.75,39.0
107,79.5,39.375
108,80.25,39.75
109,81.0,40.125
110,81.75,40.5
111,82.5,40.875
112,83.25,41.25
113,84.0,41.625
114,84.75,42.0
115,85.5,42.375
116,86.25,42.75
117,87.0,43.125
118,87.75,43.5
119,88.5,43.875
120,89.25,44.25
121,90.0,44.625
122,90.75,45.0
123,91.5,45.375
124,92.25,45.75
125,93.0,46.125
126,93.75,46.5
127,94.5,46.875
128,95.25,47.25
129,96.0,47.625
130,96.75,48.0
131,97.5,48.375
132,98.25,48.75
133,99.0,49.125
134,99.75,49.5
135,100.5,49.875
136,101.25,50.25
137,102.0,50.625
138,102.75,51.0
139,103.5,51.375
140,104.25,51.75
141,105.0,52.125
142,105.75,52.5
143,106.5,52.875
144,107.25,53.25
145,108.0,53.625
146,108.75,54.0
147,109.5,54.375
148,110.25,54.75
149,111.0,55.125
150,111.75,55.5
151,112.5,55.875
152,113.25,56.25
153,114.0,56.625
154,114.75,57.0
155,115.5,57.375
156,116.25,57.75
157,117.0,58.125
158,117.75,58.5
159,118.5,58.875
160,119.25,59.25
161,120.0,59.625
162,120.75,60.0
163,121.5,60.375
164,122.25,60.75
165,123.0,61.125
166,123.75,61.5
167,124.5,61.875
168,125.25,62.25
169,126.0,62.625
170,126.75,63.0
171,127.5,63.375
172,128.25,63.75
173,129.0,64.125
174,129.75,64.5
175,130.5,64.875
176,131.25,65.25
177,132.0,65.625
178,132.75,66.0
179,133.5,66.375
180,134.25,66.75
181,135.0,67.125
182,135.75,67.5
183,136.5,67.875
184,137.25,68.25
185,138.0,68.625
186,138.75,69.0
187,139.5,69.375
188,140.25,69.75
189,141.0,70.125
190,141.75,70.5
191,142.5,70.875
192,143.25,71.25
193,144.0,71.625
194,144.75,72.0
195,145.5,72.375
196,146.25,72.75
197,147.0,73.125
198,147.75,73.5
199,148.5,73.875
200,149.25,74.25
201,150.0,74.625
202,150.75,75.0
203,151.5,75.375
204,152.25,75.75
205,153.0,76.125
206,153.75,76.5
207,154.5,76.875
208,155.25,77.25
209,156.0,77.625
210,156.75,78.0
211,157.5,78.375
212,158.25,78.75
213,159.0,79.125
214,159.75,79.5
215,160.5,79.875
216,161.25,80.25
217,162.0,80.625
218,162.75,81.0
219,163.5,81.375
220,164.25,81.75
221,165.0,82.125
222,165.75,82.5
223,166.5,82.875
224,167.25,83.25
225,168.0,83.625
226,168.75,84.0
227,169.5,84.375
228,170.25,84.75
229,171.0,85.125
230,171.75,85.5
231,172.5,85.875
232,173.25,86.25
233,174.0,86.625
234,174.75,87.0
235,175.5,87.375
236,176.25,87.75
237,177.0,88.125
238,177.75,88.5
239,178.5,88.875
